[25:1] Moreover David and the captains of the host set apart for the service certain of the sons of Asaph, and of Heman, and of Jeduthun, who should prophesy with harps, with psalteries, and with cymbals: and the number of them that did the work according to their service was:
[25:2] of the sons of Asaph: Zaccur, and Joseph, and Nethaniah, and Asharelah, the sons of Asaph, under the hand of Asaph, who prophesied after the order of the king.
[25:3] Of Jeduthun; the sons of Jeduthun: Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, six, under the hands of their father Jeduthun with the harp, who prophesied in giving thanks and praising Jehovah.
[25:4] Of Heman; the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamti-ezer, Joshbekashah, Mallothi, Hothir, Mahazioth.
[25:5] All these were the sons of Heman the king's seer in the words of God, to lift up the horn. And God gave to Heman fourteen sons and three daughters.
[25:6] All these were under the hands of their father for song in the house of Jehovah, with cymbals, psalteries, and harps, for the service of the house of God; Asaph, Jeduthun, and Heman being under the order of the king.
[25:7] And the number of them, with their brethren that were instructed in singing unto Jehovah, even all that were skilful, was two hundred fourscore and eight.
[25:8] And they cast lots for their offices, all alike, as well the small as the great, the teacher as the scholar.
[25:9] Now the first lot came forth for Asaph to Joseph: the second to Gedaliah; he and his brethren and sons were twelve:
[25:10] the third to Zaccur, his sons and his brethren, twelve:
[25:11] the fourth to Izri, his sons and his brethren, twelve:
[25:12] the fifth to Nethaniah, his sons and his brethren, twelve:
[25:13] the sixth to Bukkiah, his sons and his brethren, twelve:
[25:14] the seventh to Jesharelah, his sons and his brethren, twelve:
[25:15] the eighth to Jeshaiah, his sons and his brethren, twelve:
[25:16] the ninth to Mattaniah, his sons and his brethren, twelve:
[25:17] the tenth to Shimei, his sons and his brethren, twelve:
[25:18] the eleventh to Azarel, his sons and his brethren, twelve:
[25:19] the twelfth to Hashabiah, his sons and his brethren, twelve:
[25:20] for the thirteenth, Shubael, his sons and his brethren, twelve:
[25:21] for the fourteenth, Mattithiah, his sons and his brethren, twelve:
[25:22] for the fifteenth to Jeremoth, his sons and his brethren, twelve:
[25:23] for the sixteenth to Hananiah, his sons and his brethren, twelve:
[25:24] for the seventeenth to Joshbekashah, his sons and his brethren, twelve:
[25:25] for the eighteenth to Hanani, his sons and his brethren, twelve:
[25:26] for the nineteenth to Mallothi, his sons and his brethren, twelve:
[25:27] for the twentieth to Eliathah, his sons and his brethren, twelve:
[25:28] for the one and twentieth to Hothir, his sons and his brethren, twelve:
[25:29] for the two and twentieth to Giddalti, his sons and his brethren, twelve:
[25:30] for the three and twentieth to Mahazioth, his sons and his brethren, twelve:
[25:31] for the four and twentieth to Romamtiezer, his sons and his brethren, twelve.
